Chinese,English,File,Line
"生产阻断状态","production blockage",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/content-editor-adapters.ts,165
"元信息别名","meta information alias",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/content-editor-adapters.ts,166
"仅用于刷新后的成功提示","Only used for success prompt after refresh",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/content-list-feedback.ts,17
"写入失败不影响已经完成的保存","Failure to write does not affect completed saves",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/content-list-feedback.ts,17
"删除","delete",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/content-list-feedback.ts,17
"关闭目录","Close directory",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,127
"打开目录","Open directory",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,127
"关闭语法实例","Close syntax example",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,129
"打开语法实例","Open grammar example",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,129
"隐藏行号","Hide line numbers",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,131
"显示行号","Show line number",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-controller.svelte.ts,131
"无编辑器默认项或显式偏好时优先","Take precedence if there is no editor default or explicit preference",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,77
"窄容器视觉回退由","Narrow container visual fallback by",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,77
"派生","derived",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,77
"是双","It's double",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,79
"与工具按钮保持可读后的最低稳定宽度","Minimum stable width after tool button remains readable",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,79
"只消费","only consume",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,79
"目录是辅助导航","The table of contents is an auxiliary navigation",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,82
"下允许主工作区轻微压缩","Allows slight compression of the main workspace",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,82
"低于视觉验收线再收起","Lower than the visual acceptance line before closing",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,82
"单区","single zone",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,84
"只有一个主要内容面板","Only one main content panel",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,84
"可以比双栏模式更晚收起目录","Table of contents can be closed later than in dual-column mode",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,84
"返回编辑与预览双区视图","Return to editing and preview dual-area view",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,89
"展开上下双区","Expand upper and lower dual areas",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,214
"返回单区视图","Return to single area view",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,216
"切换到上下布局","Switch to top-bottom layout",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,218
"切换到左右布局","Switch to left and right layout",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,219
"取消仅编辑视图","Cancel edit view only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,238
"当前宽度显示编辑区","Current width of display editing area",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,240
"点击固定为仅编辑","Click Pin to edit only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,240
"仅显示编辑区","Show editing area only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,241
"取消仅预览视图","Cancel preview view only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,244
"仅显示预览区","Show preview area only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,244
"编辑","edit",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,247
"显示预览区","Show preview area",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,250
"显示编辑区","Show editing area",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,250
"关闭同步滚动","Turn off synchronous scrolling",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,259
"开启同步滚动","Turn on synchronous scrolling",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,259
"单视图下不可同步滚动","Synchronous scrolling is not possible in single view",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,259
"布局偏好只改善体验","Layout preferences only improve the experience",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,394
"不影响编辑主流程","Does not affect the main editing process",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,394
"显示偏好只改善编辑体验","Display preferences only improve the editing experience",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,487
"不影响正文编辑主流程","Does not affect the main text editing process",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,487
"右侧辅助面板偏好只改善跨文章体验","Right side auxiliary panel preference only improves cross-article experience",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,496
"部分浏览器环境可能禁用","It may be disabled in some browser environments",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,505
"反馈保留只改善刷新后的可见性","Feedback retention only improves visibility after refresh",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,544
"不应影响保存主流程","Should not affect the main process of saving",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/editor/shared/editor-shell-helpers.ts,544
"偏好设置","Preferences",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,19
"后台界面","Backend interface",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,28
"顶部导航","top navigation",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,32
"新窗口默认侧栏","New window default sidebar",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,42
"前台","front desk",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,58
"后台","Backstage",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,68
"文章编辑器","Article editor",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,77
"默认布局","default layout",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,81
"左右","about",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,97
"堆叠","stack",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,107
"自动展开文章目录","Automatically expand article directory",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,113
"自动展开语法提示","Automatically expand syntax hints",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/AdminUiPrefsCard.astro,123
"主站首页","Home page of main site",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,36
"前台页面","Front page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,66
"阅读模式","reading mode",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,89
"订阅","subscription",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,102
"夜间模式","Night mode",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,114
"站点概览","Site overview",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarActions.astro,128
"切换到后台导航","Switch to background navigation",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/sidebar/SidebarNavSwitcher.astro,5
"你好","Hello",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,4
"欢迎来到这里","welcome here",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,4
"这是","This is",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,6
"主题的","Thematic",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,6
"页面示例","Page example",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,6
"示例内容覆盖站点介绍","Sample content coverage site introduction",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,8
"友链列表","Friendly link list",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,8
"常见问题与联系说明","Frequently Asked Questions and Contact Instructions",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,8
"可按实际站点替换","Can be replaced by actual site",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,8
"朋友们","friends",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,10
"用于构建高性能内容网站的前端框架","A front-end framework for building high-performance content websites",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,13
"一个极简的双栏","A minimalist double column",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,17
"主题","theme",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,17
"常见问题","FAQ",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,21
"如何交换友链","How to exchange friend links",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,23
"可以通过","can pass",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"联系我或者","Contact me or",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"发送邮件","Send email",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"你的邮箱","your email",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"交换友链申请","Application for exchanging friend links",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"简介","Introduction",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"头像","avatar",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"请附上站点名称","Please include site name",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"简介和头像","Introduction and avatar",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,24
"可以转载这里的内容吗","Can the content here be reproduced?",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,29
"转载请注明出处","Please indicate the source when reprinting",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,30
"如果某篇文章单独标注了授权方式","If an article is separately marked with the authorization method",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,30
"以那篇文章的说明为准","According to the description of that article",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,30
"联系","connect",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,33
"如果你有问题","if you have questions",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,35
"建议","suggestion",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,35
"或想订阅更新","Or want to subscribe for updates",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,35
"欢迎联系","Welcome to contact",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/about/index.md,35
"摄影","photography",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2025-02-03-0101.md,5
"建筑","architecture",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2025-02-03-0101.md,6
"这是一条多图展示动态","This is a multi-picture display dynamic",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2025-02-03-0101.md,26
"示例","Example",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,5
"这是一条絮语示例","This is an example of a whisper",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,8
"你可以把它当作","you can think of it as",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,10
"短动态","short dynamic",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,10
"一句话","a word",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,10
"几行摘录","A few lines of excerpts",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,10
"或配一组照片当作轻量摄影墙","Or add a group of photos as a lightweight photo wall",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,10
"的常用写法","common way of writing",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,12
"可以","Can",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,13
"清单列表","Checklist",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,13
"也可以写","You can also write",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,13
"点击页面右上角","Click on the upper right corner of the page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,15
"按钮即可生成","button to generate",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,15
"复制","copy",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,15
"下载后粘贴到内容目录","After downloading, paste it into the content directory",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/bits/bits-2026-02-03-2230.md,15
"快速指南","Quick guide",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,2
"介绍","introduce",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,3
"本地","local",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,3
"的入口","entrance",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,3
"各页面功能","Functions of each page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,3
"指南","guide",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,4
"是本地后台入口","It is the local backend entrance",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,51
"用于在","used in",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,51
"或自托管后接手站点配置与内容维护","Or take over site configuration and content maintenance after self-hosting",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,51
"它不是独立","it is not independent",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"保存操作会写回仓库里的配置或内容文件","The save operation will write back the configuration or content files in the warehouse",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"因此适合和","Therefore suitable for and",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"一起使用","used together",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"改动前后可以看","You can see before and after changes",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"需要回退时也按普通项目文件处理","When it is necessary to roll back, it will be processed as a normal project file.",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,53
"本地工具","local tools",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,55
"仅在开发环境提供写入能力","Provides writing capabilities only in development environment",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,56
"生产环境最多保留只读的站点概览页面","The production environment retains at most the read-only site overview page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,57
"只服务本地后台","Only serve the local backend",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,57
"不作为公开","inaction publicity",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,57
"快速入口","Quick entry",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/content/essay/admin-console-guide.md,60
